"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000225474 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000225474 (pp) 9606.ENSP00000295897","0.0","0.0","0.0","0.0","0.0",,"0.0","0.75","0.75"
"pp","9606.ENSP00000226382 (pp) 9606.ENSP00000366416","false","pp","9606.ENSP00000226382 (pp) 9606.ENSP00000366416","0.0","0.0","0.0","0.0","0.0",,"0.0","0.73","0.73"
"pp","9606.ENSP00000233735 (pp) 9606.ENSP00000329890","false","pp","9606.ENSP00000233735 (pp) 9606.ENSP00000329890","0.393","0.0","0.0","0.0","0.0",,"0.0","0.738","0.587"
"pp","9606.ENSP00000242249 (pp) 9606.ENSP00000327246","false","pp","9606.ENSP00000242249 (pp) 9606.ENSP00000327246","0.081","0.0","0.0","0.0","0.0",,"0.0","0.753","0.743"
"pp","9606.ENSP00000242249 (pp) 9606.ENSP00000331746","false","pp","9606.ENSP00000242249 (pp) 9606.ENSP00000331746","0.0","0.0","0.9","0.0","0.0",,"0.0","0.986","0.869"
"pp","9606.ENSP00000244096 (pp) 9606.ENSP00000353379","false","pp","9606.ENSP00000244096 (pp) 9606.ENSP00000353379","0.755","0.068","0.0","0.421","0.0",,"0.0","0.863","0.09"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000330074","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000330074","0.516","0.0","0.0","0.475","0.0",,"0.0","0.851","0.461"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000366962","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000366962","0.451","0.0","0.0","0.915","0.066",,"0.0","0.973","0.46"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000480960","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000480960","0.431","0.049","0.54","0.9","0.0",,"0.0","0.981","0.377"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000484095","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000484095","0.403","0.0","0.0","0.915","0.069",,"0.0","0.982","0.672"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000328484","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000328484","0.441","0.0","0.4","0.925","0.028",,"0.0","0.982","0.395"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000484841","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000484841","0.409","0.0","0.0","0.937","0.069",,"0.0","0.988","0.696"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000484658","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000484658","0.331","0.0","0.0","0.915","0.069",,"0.0","0.99","0.832"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000482674","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000482674","0.585","0.0","0.4","0.956","0.06",,"0.0","0.996","0.747"
"pp","9606.ENSP00000244537 (pp) 9606.ENSP00000477907","false","pp","9606.ENSP00000244537 (pp) 9606.ENSP00000477907","0.561","0.0","0.4","0.946","0.06",,"0.0","0.997","0.829"
"pp","9606.ENSP00000245919 (pp) 9606.ENSP00000349022","false","pp","9606.ENSP00000245919 (pp) 9606.ENSP00000349022","0.278","0.0","0.5","0.045","0.0",,"0.0","0.725","0.295"
"pp","9606.ENSP00000251595 (pp) 9606.ENSP00000322421","false","pp","9606.ENSP00000251595 (pp) 9606.ENSP00000322421","0.999","0.048","0.9","0.9","0.0",,"0.0","0.999","0.499"
"pp","9606.ENSP00000251595 (pp) 9606.ENSP00000494175","false","pp","9606.ENSP00000251595 (pp) 9606.ENSP00000494175","0.686","0.064","0.9","0.998","0.0",,"0.0","0.999","0.9"
"pp","9606.ENSP00000255008 (pp) 9606.ENSP00000287641","false","pp","9606.ENSP00000255008 (pp) 9606.ENSP00000287641","0.131","0.0","0.9","0.9","0.0",,"0.0","0.999","0.982"
"pp","9606.ENSP00000256178 (pp) 9606.ENSP00000297904","false","pp","9606.ENSP00000256178 (pp) 9606.ENSP00000297904","0.096","0.0","0.0","0.045","0.0",,"0.0","0.937","0.933"
"pp","9606.ENSP00000256958 (pp) 9606.ENSP00000387683","false","pp","9606.ENSP00000256958 (pp) 9606.ENSP00000387683","0.134","0.0","0.0","0.0","0.0",,"0.0","0.748","0.722"
"pp","9606.ENSP00000256958 (pp) 9606.ENSP00000343838","false","pp","9606.ENSP00000256958 (pp) 9606.ENSP00000343838","0.068","0.0","0.0","0.0","0.0",,"0.0","0.795","0.79"
