"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","external encapsulating structure organization","155/4922","341/18805",0.454545454545455,1.73663699161464,8.17376376704835,8.02448267044363e-15,2.96204360226378e-11,2.46019557208649e-11,"COL11A1/PRSS2/MMP13/PRSS1/C6orf15/COL2A1/MMP11/MMP1/GREM1/NR2E1/COL10A1/ADAMTS20/SERPINB5/COL17A1/WNT3A/MMP12/MMP3/MMP10/TNR/SMOC1/COL22A1/ADAMTS8/ANGPTL7/CAV1/HAS1/FERMT1/SPOCK2/COL7A1/RXFP1/AGT/MMP20/TLL2/RGCC/COL1A1/RAMP2/GFAP/COMP/IL6/COL6A6/MELTF/FOXF1/COL11A2/TNXB/CPB2/ADAMTS14/MMP17/MFAP4/IBSP/TGFBR3/SULF1/COL3A1/WDR72/SLC39A8/ABI3BP/FGFR4/TGM1/HPSE2/OPTC/COL9A1/ADAMTS1/CAV2/FAP/ADAMTSL3/ADAMTS16/TMPRSS6/COL9A3/P4HA3/CTSV/LTBP4/COL5A2/ADAM8/ITGA8/ADTRP/P3H4/ERO1A/PLOD2/PTX3/MMP19/COL5A1/MMP7/TIE1/MMP9/GPM6B/COL24A1/COL9A2/VTN/SCX/ADAMTS12/CTSG/DMP1/NPNT/MYH11/FBLN5/NDNF/FKBP10/BMP2/TPSAB1/ADAMTS18/CMA1/LOXL2/GAS6/MMP8/NTN4/POSTN/CCN1/VIT/ENG/COL6A5/ITGA2/RECK/PPARG/TLL1/ADAMTS15/NOX1/MATN3/LAMA1/COL1A2/ADAMTSL5/PRICKLE1/DPT/APLP1/COL4A3/MIA/PRDX4/PHLDB2/SPINK5/FBLN1/SOX9/CARMIL2/ADAMTS4/COL13A1/DPP4/SFRP2/ECM2/FOXF2/COL4A4/MMP16/OLFML2A/NPHS1/MMP14/PRDM5/COLGALT2/COL28A1/DDR2/SERPINH1/ITGB3/LCP1/IHH/THSD4/TGFB2/LOXL1/PDPN/LAMB2/MMP28/HPN",155
"GO:0030198","extracellular matrix organization","154/4922","339/18805",0.454277286135693,1.73561242701782,8.13798256269622,1.04254776992164e-14,2.96204360226378e-11,2.46019557208649e-11,"COL11A1/PRSS2/MMP13/PRSS1/C6orf15/COL2A1/MMP11/MMP1/GREM1/NR2E1/COL10A1/ADAMTS20/SERPINB5/COL17A1/WNT3A/MMP12/MMP3/MMP10/TNR/SMOC1/COL22A1/ADAMTS8/ANGPTL7/CAV1/HAS1/FERMT1/SPOCK2/COL7A1/RXFP1/AGT/MMP20/TLL2/RGCC/COL1A1/RAMP2/GFAP/COMP/IL6/COL6A6/MELTF/FOXF1/COL11A2/TNXB/CPB2/ADAMTS14/MMP17/MFAP4/IBSP/TGFBR3/SULF1/COL3A1/WDR72/SLC39A8/ABI3BP/FGFR4/HPSE2/OPTC/COL9A1/ADAMTS1/CAV2/FAP/ADAMTSL3/ADAMTS16/TMPRSS6/COL9A3/P4HA3/CTSV/LTBP4/COL5A2/ADAM8/ITGA8/ADTRP/P3H4/ERO1A/PLOD2/PTX3/MMP19/COL5A1/MMP7/TIE1/MMP9/GPM6B/COL24A1/COL9A2/VTN/SCX/ADAMTS12/CTSG/DMP1/NPNT/MYH11/FBLN5/NDNF/FKBP10/BMP2/TPSAB1/ADAMTS18/CMA1/LOXL2/GAS6/MMP8/NTN4/POSTN/CCN1/VIT/ENG/COL6A5/ITGA2/RECK/PPARG/TLL1/ADAMTS15/NOX1/MATN3/LAMA1/COL1A2/ADAMTSL5/PRICKLE1/DPT/APLP1/COL4A3/MIA/PRDX4/PHLDB2/SPINK5/FBLN1/SOX9/CARMIL2/ADAMTS4/COL13A1/DPP4/SFRP2/ECM2/FOXF2/COL4A4/MMP16/OLFML2A/NPHS1/MMP14/PRDM5/COLGALT2/COL28A1/DDR2/SERPINH1/ITGB3/LCP1/IHH/THSD4/TGFB2/LOXL1/PDPN/LAMB2/MMP28/HPN",154
"GO:0043062","extracellular structure organization","154/4922","340/18805",0.452941176470588,1.73050768458542,8.09363948116059,1.41905634091206e-14,2.96204360226378e-11,2.46019557208649e-11,"COL11A1/PRSS2/MMP13/PRSS1/C6orf15/COL2A1/MMP11/MMP1/GREM1/NR2E1/COL10A1/ADAMTS20/SERPINB5/COL17A1/WNT3A/MMP12/MMP3/MMP10/TNR/SMOC1/COL22A1/ADAMTS8/ANGPTL7/CAV1/HAS1/FERMT1/SPOCK2/COL7A1/RXFP1/AGT/MMP20/TLL2/RGCC/COL1A1/RAMP2/GFAP/COMP/IL6/COL6A6/MELTF/FOXF1/COL11A2/TNXB/CPB2/ADAMTS14/MMP17/MFAP4/IBSP/TGFBR3/SULF1/COL3A1/WDR72/SLC39A8/ABI3BP/FGFR4/HPSE2/OPTC/COL9A1/ADAMTS1/CAV2/FAP/ADAMTSL3/ADAMTS16/TMPRSS6/COL9A3/P4HA3/CTSV/LTBP4/COL5A2/ADAM8/ITGA8/ADTRP/P3H4/ERO1A/PLOD2/PTX3/MMP19/COL5A1/MMP7/TIE1/MMP9/GPM6B/COL24A1/COL9A2/VTN/SCX/ADAMTS12/CTSG/DMP1/NPNT/MYH11/FBLN5/NDNF/FKBP10/BMP2/TPSAB1/ADAMTS18/CMA1/LOXL2/GAS6/MMP8/NTN4/POSTN/CCN1/VIT/ENG/COL6A5/ITGA2/RECK/PPARG/TLL1/ADAMTS15/NOX1/MATN3/LAMA1/COL1A2/ADAMTSL5/PRICKLE1/DPT/APLP1/COL4A3/MIA/PRDX4/PHLDB2/SPINK5/FBLN1/SOX9/CARMIL2/ADAMTS4/COL13A1/DPP4/SFRP2/ECM2/FOXF2/COL4A4/MMP16/OLFML2A/NPHS1/MMP14/PRDM5/COLGALT2/COL28A1/DDR2/SERPINH1/ITGB3/LCP1/IHH/THSD4/TGFB2/LOXL1/PDPN/LAMB2/MMP28/HPN",154
"GO:0042391","regulation of membrane potential","192/4922","463/18805",0.414686825053996,1.5843530567128,7.58048050540401,3.2576652039458e-13,5.09987487677715e-10,4.23582204544637e-10,"ALB/PHOX2B/SLC6A4/GABRA3/HTR3A/KCNC2/KCNQ2/CHRNA9/GABRA5/NETO1/HTR3B/NTSR1/HTR3C/MYOC/CHRM1/GABRG2/NTSR2/GLRA3/KCNA4/KCNK9/RIMS2/PYCR1/GRIA1/CHRNA5/CHRNA2/KCNV1/CDKN2A/GABRG3/NDP/GABRR1/SLC1A6/CAV1/FHL1/ADRA1A/CHRNB4/SCN4A/KCNN4/ADRB1/GRIN1/CCN6/STX1A/ADRB2/AGT/CAV3/SLC1A7/SCN8A/CNGB1/CHRNB2/CD36/CHRND/SCN4B/ACTN2/CASR/CASQ2/SCN3A/CBLN1/HCN1/KCNA7/FXYD1/TBX18/GRIK2/GRIK4/SLC39A8/UCN3/GRIN2D/FZD9/TRPC5/GRIA4/CHRNG/GPR35/SCN7A/INSYN2A/KCNA10/KCNA5/ATP1A2/HCN2/KCNE4/KCND2/DSP/OPRD1/GCLC/GPER1/KCNK3/GABRB1/KCNK2/KCNC1/KCNIP1/MLLT11/KCNJ10/CACNA1I/KCNH8/EDN1/KCNQ3/SLC24A4/KCNG2/LRRK2/PID1/SLC8A2/SCN2B/CHRNA6/WNT7A/SCN5A/SLC4A11/CHRNA4/NTRK2/SCN1A/KCNMB3/KCNJ5/SLC4A3/KCNG1/HCN3/GRIK3/GRIN2A/P2RX2/NOS1/GJA5/KCNF1/GPR88/PMAIP1/SNCA/KCTD16/IGSF11/GRIK5/ATP1B2/GRIA2/KCNE1/RNF207/RIMS4/PIP5KL1/ATP1A3/SLC8A3/SLC26A3/CNR1/GABRA4/TBX5/KCNH7/DSG2/DCN/KCNK5/CLCN1/HSH2D/GRID1/SHANK3/KCNMB2/KCNH2/CACNB4/INSYN1/MAPK8IP2/PKP2/HCRT/KCNK1/RNF122/NUP155/CACNA1G/TRPV1/CLCN2/KCNK16/P2RX6/ASIC1/LIPA/ATP1B1/P2RX5/MET/POPDC3/GJA1/LTF/KCNJ8/P2RX1/CFTR/GRIN3B/P2RX3/BNIP3/CACNB3/RIMS1/ADCY10/GRIK1/SLC34A1/SYNE1/SMAD7/AKAP7/KCNV2/GABRR2/GABRE/PPIF/KCNH4/CHRNB1/ADORA1/SCN3B/BEST2/GCLM/GABRD/GRIN2C",192
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","125/4922","272/18805",0.459558823529412,1.75579107608098,7.4759710851336,1.23737306613565e-12,1.54968602802829e-09,1.28712848837395e-09,"CALCA/GCG/ADGRG7/PTH/IAPP/GIP/CALCB/ADGRF4/CHRM1/GPR78/UCN2/HRH3/SSTR4/RIMS2/MTNR1A/GCGR/ADM2/ADRA1A/CHRM2/GPR26/GRM4/ADCY8/RAMP3/VIPR1/GALR3/ADGRB1/ADRB1/RXFP1/ADRB2/TSHR/MARCO/HTR1A/FPR2/MC5R/RAMP2/S1PR1/TAAR1/ADGRE3/MC4R/CASR/PTHLH/CALCRL/LHCGR/RXFP2/GPR37/ADGRE1/HTR1D/ADGRD2/OR51E2/GRK5/UCN3/ADGRF1/FFAR4/ADGRG4/GPR12/OPRD1/GPER1/GALR2/RAMP1/ADCYAP1R1/GABBR2/GPR146/INSL3/MCHR1/EDN1/PF4/OPRM1/OPRK1/AVPR2/PTH2R/FPR1/PTH1R/ADRA1D/ADGRL2/GPBAR1/RAPGEF4/S1PR4/PDE2A/GPR101/ADCY4/P2RY1/GRIK3/GRM3/NOS1/CALCR/GPR88/GPR4/PTGER4/ADGRB3/VIP/HTR6/FSHR/CHGA/CNR1/ADGRB2/S1PR5/APLNR/APLP1/CRHR2/ADGRG1/ADRA2A/PTGIR/CCR3/CXCL9/ADGRE5/ADGRL4/ADGRD1/TCP11/GNAT1/GNAQ/PTGFR/GPR37L1/ADGRL3/ADCY9/CHRM4/CORT/P2RY12/MC2R/ITGB3/GPR65/ADGRF5/ADORA1/HTR4/TBXA2R/AKAP12",125
"GO:0019730","antimicrobial humoral response","92/4922","185/18805",0.497297297297297,1.89997474109624,7.32454430944599,5.22129840345526e-12,5.44929510040614e-09,4.52604130025832e-09,"DEFA5/FGB/CALCA/REG1A/F2/H2BC10/IL36RN/PRSS2/PGLYRP3/KRT6A/S100A7/BPIFA1/PRSS3/H2BC7/HRG/NTS/DEFB126/TF/CXCL14/PGLYRP4/WFDC3/H2BC8/LGALS4/FGA/IGHG4/H2BC6/DEFA3/KNG1/SPRR2A/IGHG1/PI3/CCL25/IGHG3/NPPB/IGHG2/CAMP/DEFA4/CCL23/WFDC10B/CCL24/CXCL2/H2BC11/H2BC4/IGKV3-20/PLA2G1B/RNASE7/KLK3/IGHA2/PGLYRP1/IL17A/H2BC12L/MMP7/CCL14/PF4/PPBP/S100A12/DEFB4A/CCL1/CTSG/CCL7/SLC11A1/IGHA1/TSLP/WFDC2/CXCL3/GATA6/GAPDH/WFDC13/VIP/CXCL13/CCL2/DEFB1/IGHD/WFDC11/SPINK5/IGHM/HLA-E/H2BC12/CXCL9/CCL16/CXCL12/CCL20/CCL26/LTF/HAMP/CCL18/CXCL6/S100A9/H2BC21/CX3CL1/SLPI/CCL19",92
"GO:0061644","protein localization to CENP-A containing chromatin","18/4922","18/18805",1,3.82060138155221,7.1285879684887,3.24823487016904e-11,2.57033679019881e-08,2.13485418823182e-08,"H4C13/H4C6/H2AC4/H4C3/H4C1/H4C2/H4C4/H4C5/H2AC8/CENPA/H4C12/H2BC11/H4C11/H4C14/H4C8/H4C15/H4C16/H4C9",18
"GO:0006959","humoral immune response","134/4922","309/18805",0.433656957928803,1.65683037258251,6.93182870720221,3.28372633688765e-11,2.57033679019881e-08,2.13485418823182e-08,"DEFA5/FGB/CALCA/REG1A/F2/H2BC10/IL36RN/PRSS2/PGLYRP3/KRT6A/S100A7/BPIFA1/PRSS3/H2BC7/HRG/NTS/DEFB126/TF/CFHR4/FCN3/CXCL14/PGLYRP4/CD5L/WFDC3/H2BC8/LGALS4/FGA/IGHG4/EXO1/H2BC6/IFNK/DEFA3/KNG1/SPRR2A/IGHG1/CFHR5/IFNE/PI3/CCL25/RGCC/IL6/IGHG3/NPPB/MASP1/IGHG2/CAMP/C8B/DEFA4/CCL23/CFHR3/WFDC10B/CCL24/CXCL2/VSIG4/CFD/H2BC11/H2BC4/C8A/C4BPB/COLEC10/IGKV3-20/PLA2G1B/RNASE7/KLK3/IFNB1/IGHA2/PGLYRP1/IL17A/H2BC12L/MMP7/CCL14/PF4/PPBP/TNFRSF21/C6/S100A12/DEFB4A/CCL1/A2M/ZP3/CTSG/ALOX5/CCL7/SLC11A1/IGHA1/C7/CFP/KRT1/TSLP/FCN1/WFDC2/CXCL3/GATA6/CD83/C8G/GAPDH/AIRE/HPX/C1QB/CFB/WFDC13/POU2AF1/VIP/C1QA/CXCL13/CCL2/DEFB1/IGHD/WFDC11/SERPING1/SPINK5/IGHM/HLA-E/H2BC12/CXCL9/CCL16/CXCL12/CCL20/IFNG/CCL26/LTF/SUSD4/BST1/IFNA21/HAMP/CCL18/CXCL6/GPI/S100A9/H2BC21/C1QC/CX3CL1/SLPI/CCL19",134
"GO:0007389","pattern specification process","189/4922","476/18805",0.397058823529412,1.51700348973397,6.80270799612822,4.73204024679177e-11,3.29244844726779e-08,2.73462115314598e-08,"PITX2/BARX1/HOXD12/OTX2/LHX1/HOXB9/HOXC13/DLL3/HOXD13/HOXC11/SP8/NEUROD1/TBXT/HOXC10/ZIC3/NKX2-2/HOXD11/FEZF1/PCDH8/SIM2/CIROP/CDX2/DMRTA2/GREM1/ASCL1/FOXG1/LHX2/NKX2-5/FOXB1/ZIC1/ALX3/ISL1/IRX4/FOXH1/HOXA11/WNT3A/HOXA10/FUT6/RAX/SOSTDC1/TDRD5/SOX1/NKX3-2/GRHL3/HOXB8/ARC/DLX1/LHX3/DLX2/OTX1/EMX1/SIX2/XRCC2/HOXC9/HELT/MESP2/EN1/FGF10/TLL2/GDNF/FEZF2/HHIP/HES6/PAX6/FOXF1/GBX2/TDRD1/SOX17/HOXC8/TBX18/AURKA/TBR1/ACVRL1/HOXB1/SMAD6/STIL/GSC/NOTO/HOXD4/NRG3/MESP1/SIX1/ZBTB16/DKK1/HOXC6/CHRDL1/FOXN4/GPC3/TBX3/FOXD1/WNT3/HOXB7/NDRG4/CFAP52/EDN1/FGF2/WNT6/TBX20/HES7/DNAI2/TBX2/LMX1B/DRC1/GSX2/LEFTY2/WNT7A/EGR2/HOXD3/HOXA9/CDX1/DMRT3/FGFR2/BASP1/CFC1/BMP2/KAT2A/DNAI1/ERBB4/TGFBR2/HOXC4/SOX18/HOXA5/ENG/NKD1/HOXC5/ENKUR/CFAP53/SIX3/HOXB2/RNF207/GATA5/TLL1/ODAD2/C1QA/MFNG/ROBO2/TBX5/DNAAF1/APLNR/PRICKLE1/VAX2/MDFI/HOXA4/RIPPLY2/FOXA1/TDRKH/ADGRG1/RIPPLY3/MSX2/ODAD4/CHRD/HOXB3/BMPR2/ZEB1/ODAD3/BTG2/IRX1/SATB2/SFRP2/OSR2/GJA1/GATA4/WNT2B/WNT8B/ALX4/ASPH/MEOX1/POU5F1/DNAAF3/PRKDC/TBX6/COBL/HEY2/MEOX2/LFNG/CIMAP3/CYP26B1/IHH/ARL13B/WNT1/MEIS1/FGF8/DCHS1/DAW1/BHLHE41/ARL6/PCSK6/WNT2/HEYL",189
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","123/4922","280/18805",0.439285714285714,1.67833560689615,6.80924226132746,7.62371625869118e-11,4.77397112119242e-08,3.9651349509677e-08,"PSG5/CLDN6/PCDH8/DSG4/CDH17/SLITRK1/CDH18/CEACAM5/DSG3/CDHR2/CLDN10/MYPN/CDHR5/CLDN18/CNTN6/CELSR3/PLXNB3/IGSF9/CD177/CLDN2/PCDH15/SELE/RET/ROBO4/CDH3/CBLN1/CLDN5/CDH5/CDH12/SLITRK2/PCDHA9/NECTIN4/SELP/PECAM1/KLF4/CLDN9/CLDN14/CDH19/CDH15/FAT2/MAG/CEACAM8/CEACAM1/CDH7/MYADM/CLDN3/SPARCL1/ESAM/CDH2/MDGA1/FAT3/DSG1/PCDHGA8/PCDH9/NTNG1/CDH13/L1CAM/TENM4/FLRT3/JAML/PCDHGB7/BMP2/PCDHA6/PCDH12/PCDH17/PCDH7/PCDHA5/TGFBR2/CNTN2/IGSF11/NECTIN1/GATA5/CDHR4/PCDHGC3/NEXN/ROBO2/PCDHA8/CDH24/CDH20/DSC1/DSG2/MIR221/EFNA5/CDHR3/PCDHB8/PTPRM/HMCN2/PCDH11X/PCDHGA1/CDH22/CEACAM6/CADM1/LRRC4B/PCDHGA12/CLDN11/PCDHA7/PTPRT/EMB/PCDH10/LRRC4/CLDN12/CDH23/ITGAL/PCDHA4/FAT1/DSC3/LRFN4/PCDHA12/ADGRL3/SLITRK5/FAT4/CLDN4/SDK1/SCARF1/DCHS2/CDH10/AMIGO1/CX3CL1/CLSTN2/CRTAM/PTPRD/TGFB2/DCHS1",123
