"gene_id","biomart_id","entrez_id","gene_name","log2FoldChange","pvalue","padj"
"ENSG00000231924.10","ENSG00000231924","5669","PSG1",12.6485309353276,8.35945179026471e-07,2.66221989536931e-06
"ENSG00000160181.9","ENSG00000160181","7032","TFF2",11.8454613440405,3.12226746796821e-37,9.4397485563265e-36
"ENSG00000267978.5","ENSG00000267978","4108","MAGEA9",11.1155983706681,2.54511092930029e-07,8.61641235973718e-07
"ENSG00000234854.1","ENSG00000234854","101409253","LINC00676",10.9641349771505,3.3688707258028e-28,6.01991812098749e-27
"ENSG00000267073.1","ENSG00000267073",NA,NA,10.9025301464849,1.99452591195099e-30,4.09059641100412e-29
"ENSG00000189064.8","ENSG00000189064","26749","GAGE2E",10.7395995802415,0.0151859494532792,0.0255187472828432
"ENSG00000134193.15","ENSG00000134193","83998","REG4",10.6340434142786,1.50042541418095e-40,5.43087149296237e-39
"ENSG00000164816.8","ENSG00000164816","1670","DEFA5",10.5989027651114,0.012923676834845,0.0220242708052138
"ENSG00000229967.1","ENSG00000229967","105373368","MAGEA4-AS1",10.4693522325313,7.42464224856124e-05,0.000183520188642176
"ENSG00000201464.1","ENSG00000201464",NA,NA,10.4301135306525,5.63903879823279e-21,6.24379083896199e-20
"ENSG00000170848.16","ENSG00000170848","5675","PSG6",10.228376488522,4.7876200709477e-05,0.000121656687263904
"ENSG00000285711.1","ENSG00000285711",NA,NA,10.1635125760613,3.0771296425614e-08,1.15971306090658e-07
"ENSG00000200156.1","ENSG00000200156","26832","RNU5B-1",10.162862858345,2.16716397386983e-11,1.12470503217432e-10
"ENSG00000120054.12","ENSG00000120054","1369","CPN1",10.0616316360787,4.03079466016282e-08,1.50197002417976e-07
"ENSG00000256022.6","ENSG00000256022","101927637","LINC02411",9.94999347308854,0.0156326858832376,0.0262152254209385
"ENSG00000205754.12","ENSG00000205754",NA,NA,9.93856255794519,1.82433888005943e-05,4.91536189223235e-05
"ENSG00000272328.1","ENSG00000272328",NA,NA,9.88322040233941,3.12216804876974e-29,5.95506044049911e-28
"ENSG00000231776.5","ENSG00000231776","105377880","LINC01611",9.83063613887277,3.9455597652962e-13,2.38840570365364e-12
"ENSG00000162344.4","ENSG00000162344","9965","FGF19",9.71142761200858,7.54553438894015e-39,2.46290958414e-37
"ENSG00000230657.8","ENSG00000230657","5545","PRB4",9.61073947101987,1.77385332193783e-07,6.12685389970009e-07
"ENSG00000286769.1","ENSG00000286769",NA,NA,9.60306339139695,2.65171965800513e-05,6.98416724766013e-05
"ENSG00000264734.1","ENSG00000264734",NA,NA,9.59523216810184,0.00663543412729934,0.0119172136137925
"ENSG00000257035.1","ENSG00000257035","100420119","LOC100420119",9.57215538202092,1.32382416855104e-08,5.19452973615075e-08
"ENSG00000286060.1","ENSG00000286060","124905218","LOC124905218",9.55098088288605,1.47754071644365e-19,1.46184559516614e-18
"ENSG00000246876.7","ENSG00000246876","101927282","LINC02466",9.53578029675067,4.00228275793275e-10,1.84331907934648e-09
"ENSG00000198573.7","ENSG00000198573","64663","SPANXC",9.34701715917994,0.000782586658888911,0.00165117805592524
"ENSG00000240354.1","ENSG00000240354",NA,NA,9.31431424970599,0.013327986258255,0.0226508127363495
"ENSG00000160182.3","ENSG00000160182","7031","TFF1",9.2773211852911,3.14265067541758e-64,3.36255957268034e-62
"ENSG00000285822.1","ENSG00000285822",NA,NA,9.27616336257713,0.00284007050706843,0.00545232388405693
"ENSG00000282842.1","ENSG00000282842",NA,NA,9.25535010405526,1.28006043170316e-18,1.18922005672143e-17
"ENSG00000196406.4","ENSG00000196406","64648","SPANXD",9.20547600730812,0.0117325974640741,0.0201557533737259
"ENSG00000176566.5","ENSG00000176566","138009","DCAF4L2",9.19398021436908,3.0977816626674e-07,1.03761612399447e-06
"ENSG00000236731.1","ENSG00000236731",NA,NA,9.11458792277505,0.010670521421267,0.0184678701317537
"ENSG00000271968.2","ENSG00000271968",NA,NA,9.02079669623794,0.00675332263266589,0.0121096059911065
"ENSG00000163631.17","ENSG00000163631","213","ALB",8.99970731665734,2.10953196874657e-34,5.40871174383069e-33
"ENSG00000122711.9","ENSG00000122711","27290","SPINK4",8.9774204531578,1.31291163778224e-35,3.64071559025721e-34
"ENSG00000132703.4","ENSG00000132703","325","APCS",8.97136075464809,0.0183134527881042,0.0302733009405887
"ENSG00000135346.9","ENSG00000135346","1081","CGA",8.94372688167422,3.31168172447483e-28,5.92255057362357e-27
"ENSG00000171564.12","ENSG00000171564","2244","FGB",8.87049010229213,6.06108394567706e-65,6.74857085311946e-63
"ENSG00000258314.3","ENSG00000258314",NA,NA,8.8240600126599,1.58341728644285e-06,4.87741965548357e-06
"ENSG00000139515.6","ENSG00000139515","3651","PDX1",8.77669046161029,2.81861577824242e-46,1.36932287459266e-44
"ENSG00000223867.1","ENSG00000223867",NA,NA,8.73074269123572,4.15816501057722e-05,0.000106625286911978
"ENSG00000147381.11","ENSG00000147381","4103","MAGEA4",8.72086351364869,2.267870031886e-14,1.51799191987804e-13
"ENSG00000253400.1","ENSG00000253400",NA,NA,8.6819676827622,4.21656461623282e-05,0.000108034384505033
"ENSG00000249199.2","ENSG00000249199",NA,NA,8.67160075819495,1.8113181295546e-37,5.5373320575213e-36
"ENSG00000081051.8","ENSG00000081051","174","AFP",8.61913245197371,3.70956909642437e-17,3.07279242241391e-16
"ENSG00000200312.1","ENSG00000200312",NA,NA,8.60214701940976,1.93930577767392e-05,5.20489030787766e-05
"ENSG00000280837.1","ENSG00000280837","29034","CPS1-IT1",8.5956523378822,4.27691504132561e-05,0.000109420881756525
"ENSG00000142484.7","ENSG00000142484","9032","TM4SF5",8.57373622769986,2.14629152370298e-31,4.65425916229986e-30
"ENSG00000279995.1","ENSG00000279995",NA,NA,8.57082810533795,0.000438523220896633,0.000962119288697894
"ENSG00000257869.1","ENSG00000257869",NA,NA,8.55550901108031,1.01721752158515e-17,8.81206861264199e-17
"ENSG00000265060.2","ENSG00000265060",NA,NA,8.54389077299078,1.44986523568773e-09,6.30868260507686e-09
"ENSG00000145321.13","ENSG00000145321","2638","GC",8.54240023554198,1.7182627376051e-08,6.65652313987974e-08
"ENSG00000232508.1","ENSG00000232508",NA,NA,8.51428661069963,4.35839792726448e-08,1.61758509874083e-07
"ENSG00000249642.2","ENSG00000249642","105377603","LOC105377603",8.51107085263461,2.15942485222989e-10,1.0200474732688e-09
"ENSG00000170516.17","ENSG00000170516","170712","COX7B2",8.50846324991926,8.39242768160779e-18,7.32817296903766e-17
"ENSG00000117148.8","ENSG00000117148","81569","ACTL8",8.49374588527881,1.30652920438465e-22,1.63200824792569e-21
"ENSG00000231291.3","ENSG00000231291",NA,NA,8.48574472600872,1.57258251386932e-09,6.81695872538866e-09
"ENSG00000110680.13","ENSG00000110680","796","CALCA",8.47758936556076,1.26280950355341e-39,4.30779083292258e-38
"ENSG00000199568.1","ENSG00000199568","26831","RNU5A-1",8.47292000103016,2.26937158067375e-12,1.28740542962081e-11
"ENSG00000277693.2","ENSG00000277693",NA,NA,8.47111346117562,5.85972172600812e-12,3.19885679938091e-11
"ENSG00000123407.4","ENSG00000123407","3228","HOXC12",8.46295940700884,2.24801349605775e-25,3.34072168220045e-24
"ENSG00000257356.2","ENSG00000257356","100129777","BNIP3P6",8.44766623451331,0.0190277508437312,0.0313536566789483
"ENSG00000115263.15","ENSG00000115263","2641","GCG",8.43245114712898,3.20662990595151e-06,9.52092367811754e-06
"ENSG00000214107.8","ENSG00000214107","4112","MAGEB1",8.42632926522756,1.03454640289692e-05,2.87371089398373e-05
"ENSG00000250612.2","ENSG00000250612",NA,NA,8.37483398895343,1.13397002636744e-05,3.12986857221048e-05
"ENSG00000100665.12","ENSG00000100665","5267","SERPINA4",8.36922249682155,3.95723929098624e-47,1.99770000525058e-45
"ENSG00000201098.1","ENSG00000201098","6084","RNY1",8.34660938141786,5.75697184378007e-16,4.36564559748985e-15
"ENSG00000187772.8","ENSG00000187772","389421","LIN28B",8.32992151701104,7.78260206974609e-22,9.17782177950782e-21
"ENSG00000275126.2","ENSG00000275126","8368","H4C13",8.29762628647683,6.83740466335255e-07,2.20357115175296e-06
"ENSG00000227088.2","ENSG00000227088",NA,NA,8.29633565705224,1.94717080785941e-08,7.5009164181581e-08
"ENSG00000200792.1","ENSG00000200792","677846","SNORA80A",8.28203562048303,2.76068511068705e-07,9.30601622258569e-07
"ENSG00000150244.12","ENSG00000150244","79097","TRIM48",8.27954256167913,0.00024511570416434,0.000558596406544698
"ENSG00000257046.5","ENSG00000257046","115072896","SLCO1B3-SLCO1B7",8.2346777699559,1.68539582310821e-06,5.17546054626447e-06
"ENSG00000173237.4","ENSG00000173237","254439","C11orf86",8.20991832452829,1.06198852236654e-65,1.21008764903111e-63
"ENSG00000153779.11","ENSG00000153779","90316","TGIF2LX",8.19581149875034,0.0011407809551906,0.00234183059069988
"ENSG00000227400.2","ENSG00000227400",NA,NA,8.19409239156405,2.90739499322509e-07,9.77352574389207e-07
"ENSG00000230153.5","ENSG00000230153","122149304","LINC02927",8.1847144565776,3.37060721759596e-05,8.74786535104522e-05
"ENSG00000257230.1","ENSG00000257230",NA,NA,8.18206755245233,0.00308296469560444,0.00588489157738539
"ENSG00000164093.17","ENSG00000164093","5308","PITX2",8.17770467479033,2.53763991534086e-96,1.22333764226471e-93
"ENSG00000155495.9","ENSG00000155495","9947","MAGEC1",8.17623109965254,6.22160494995092e-27,1.02723216992622e-25
"ENSG00000120211.4","ENSG00000120211","3641","INSL4",8.17101669017953,7.72995763167453e-30,1.53649982484789e-28
"ENSG00000260284.1","ENSG00000260284","650474","TPSP2",8.1361652630867,6.86358666088686e-34,1.71958128627325e-32
"ENSG00000254442.1","ENSG00000254442",NA,NA,8.13521905668715,4.58906601804793e-08,1.69988801102546e-07
"ENSG00000249053.1","ENSG00000249053","100420683","LOC100420683",8.13241216242648,0.000192253154690033,0.000445627900406692
"ENSG00000286772.1","ENSG00000286772",NA,NA,8.11576986597313,0.00109000308926875,0.00224561223191861
"ENSG00000242515.5","ENSG00000242515","54575","UGT1A10",8.10389397615089,4.9241028906296e-19,4.69700956097043e-18
"ENSG00000221867.9","ENSG00000221867","4102","MAGEA3",8.05963266446682,5.12118521097986e-38,1.60587043617209e-36
"ENSG00000169876.14","ENSG00000169876","140453","MUC17",8.05239883791215,1.06582877703181e-08,4.22450692262455e-08
"ENSG00000272046.1","ENSG00000272046",NA,NA,8.0325124122492,7.83339065408386e-08,2.82299363019802e-07
"ENSG00000197172.10","ENSG00000197172","4102","MAGEA3",8.02126937476869,4.60579207385272e-33,1.09217022966403e-31
"ENSG00000236687.1","ENSG00000236687",NA,NA,7.98127943605626,1.73932556508308e-08,6.73514636902018e-08
"ENSG00000163530.4","ENSG00000163530","151871","DPPA2",7.97985537613347,0.00397496527713151,0.0074424990073616
"ENSG00000266976.3","ENSG00000266976","102724908","ERVE-5",7.9687424784354,7.18818572351489e-13,4.25730416504488e-12
"ENSG00000111701.7","ENSG00000111701","339","APOBEC1",7.96513213608969,1.77969683913659e-35,4.88264669393892e-34
"ENSG00000279379.1","ENSG00000279379",NA,NA,7.95352385732102,0.000119433883990345,0.000286245905636607
"ENSG00000250590.6","ENSG00000250590","100506272","LINC02492",7.94088611689249,4.54129550474544e-10,2.08151804929138e-09
"ENSG00000224141.6","ENSG00000224141","101927797","MIR548XHG",7.93886067580327,1.26615754373523e-26,2.0443527893309e-25
"ENSG00000124260.12","ENSG00000124260","4109","MAGEA10",7.92068848552261,4.94505062177139e-19,4.71494078953465e-18
"ENSG00000221826.10","ENSG00000221826","5671","PSG3",7.91990891489747,9.79247215360364e-10,4.3339987984911e-09
"ENSG00000278099.1","ENSG00000278099","6063","RNVU1-2A",7.8909619303225,0.00310127381086213,0.0059159795107497
"ENSG00000185247.15","ENSG00000185247","4110","MAGEA11",7.88715909977807,6.56423506477095e-11,3.26640685181984e-10
